Participant,C,P,Piece,Condition,Moving,Dynamic,Alive,Metallic,Spiky,Travelling,Mechanical,Moist,Chaotic,Threatening,Warping,Chronological,Aggressive,Unfinished,Near,Textured,Engulfing,Static,Violent,Detailed,Hollow,Scratching,Light,Expanding
31,3,N,Smooth,Object,15,11,5,5,6,5,15,50,20,8,8,47,4,44,33,1,33,40,17,8,7,3,5,61
32,3,A,Tree,Combo,9,29,3,3,2,2,30,10,32,45,45,54,46,26,27,72,71,49,48,24,10,8,8,50
32,3,G,Plate,Object,63,98,97,60,88,50,97,97,98,97,78,79,61,2,96,97,96,3,52,75,2,65,2,48
32,3,M,Rough,Combo,1,2,1,29,2,21,20,13,1,2,1,26,2,33,49,48,3,96,2,41,76,3,25,2
32,3,N,Smooth,Object,7,29,22,1,1,1,1,46,30,28,20,3,3,59,59,72,32,97,2,41,3,1,31,10
33,3,A,Tree,Combo,17,28,45,1,13,11,2,15,71,55,50,10,34,50,42,78,88,82,81,11,3,74,14,3
33,3,G,Plate,Object,25,1,0,4,5,22,30,11,18,9,7,5,6,72,26,21,2,89,17,38,6,29,2,4
33,3,M,Rough,Combo,39,50,84,6,52,48,52,73,74,55,55,62,59,15,43,67,74,52,67,74,17,43,32,47
33,3,N,Smooth,Object,30,11,64,3,4,54,2,74,4,4,5,46,5,61,84,85,55,65,5,4,3,2,25,26
34,3,A,Tree,Combo,5,4,17,4,11,4,46,15,23,1,3,3,73,93,4,53,6,77,91,19,90,76,13,5
34,3,G,Plate,Object,6,6,7,52,8,8,22,4,40,5,5,57,4,17,3,35,4,79,3,64,16,47,38,2
34,3,M,Rough,Combo,22,20,22,36,31,24,4,15,45,6,5,8,24,39,13,21,3,49,11,6,6,28,34,11
34,3,N,Smooth,Object,4,4,4,5,5,5,8,19,19,4,4,5,5,41,37,22,3,67,3,4,39,23,2,6
35,1,A,Tree,Combo,12,52,73,1,11,39,0,7,12,2,22,15,22,44,49,77,33,68,20,65,30,56,14,28
35,1,F,Plate,Combo,19,19,10,66,24,80,63,4,23,0,1,12,8,40,25,70,13,63,10,88,34,70,42,5
35,1,N,Smooth,Object,3,3,66,2,1,36,1,55,2,16,53,40,14,88,24,1,24,51,5,6,7,4,6,23
35,1,P,Rough,Object,3,14,50,15,55,29,8,65,42,51,34,11,39,71,16,63,29,29,17,40,8,44,5,29
36,1,A,Tree,Combo,0,18,4,9,39,1,2,17,21,5,11,4,20,59,64,73,13,32,6,43,10,55,12,29
36,1,F,Plate,Combo,24,32,10,39,2,49,15,0,5,0,14,17,0,34,8,1,7,42,0,48,30,2,37,50
36,1,N,Smooth,Object,9,3,16,7,2,15,7,23,3,16,29,6,0,68,54,61,16,25,5,16,1,10,5,13
36,1,P,Rough,Object,6,29,20,7,24,3,5,22,34,19,28,0,19,27,57,70,9,19,30,42,1,6,14,3
37,1,A,Tree,Combo,2,16,1,1,1,3,1,3,5,7,30,6,6,7,4,35,6,94,5,58,6,68,9,7
37,1,F,Plate,Combo,22,12,4,43,4,3,21,3,4,9,3,29,5,36,4,30,13,46,20,62,69,35,44,5
37,1,N,Smooth,Object,3,8,3,4,4,3,17,69,9,26,47,11,8,68,8,4,9,92,7,8,5,5,22,6
37,1,P,Rough,Object,6,57,6,7,63,8,13,50,31,22,40,2,28,38,3,48,3,97,2,20,3,29,3,5
38,1,A,Tree,Combo,2,25,2,37,48,6,13,36,16,26,28,29,23,56,67,81,44,98,21,83,13,54,35,16
38,1,F,Plate,Combo,3,64,7,8,16,23,45,7,30,15,40,60,19,31,14,49,59,86,22,86,73,33,23,65
38,1,N,Smooth,Object,8,39,9,40,13,6,16,55,9,22,26,35,12,66,77,52,15,83,26,67,14,7,73,77
38,1,P,Rough,Object,9,83,18,89,78,10,58,69,86,78,33,44,65,53,70,77,59,65,66,71,19,38,70,78
39,1,A,Tree,Combo,21,8,7,6,18,22,3,14,9,19,15,16,24,44,27,64,19,94,24,41,25,21,39,30
39,1,F,Plate,Combo,22,36,4,94,36,63,83,16,64,66,45,9,72,77,46,24,49,78,58,81,47,27,33,22
39,1,N,Smooth,Object,16,6,4,5,19,4,4,22,48,2,13,6,5,91,18,83,31,96,2,17,18,4,27,7
39,1,P,Rough,Object,9,9,6,6,17,19,5,33,95,46,29,3,57,97,18,81,33,96,37,38,24,23,39,31
40,2,A,Tree,Combo,18,50,78,8,8,9,31,1,38,4,4,24,3,37,71,88,87,11,12,81,24,17,43,26
40,2,G,Plate,Object,68,55,90,51,3,81,44,2,35,4,18,59,7,74,74,16,57,13,12,74,5,5,66,11
40,2,J,Smooth,Combo,4,6,7,7,13,3,27,28,13,2,3,21,5,65,85,73,26,3,3,30,6,6,25,44
40,2,P,Rough,Object,16,65,67,28,46,8,48,32,95,60,28,5,63,79,58,96,56,6,52,96,19,3,18,37
41,2,A,Tree,Combo,20,37,41,7,4,5,61,49,13,10,26,26,32,52,47,72,58,30,23,48,47,54,9,26
41,2,G,Plate,Object,12,37,13,33,13,22,34,9,21,7,19,37,22,31,24,19,23,14,8,88,13,24,9,35
41,2,J,Smooth,Combo,16,5,15,5,4,6,32,88,6,6,26,7,26,93,21,71,18,14,14,5,5,35,12,15
